257693	T:69.2,S:83.8,K:14.6,TR:-39.9,SR:-52.5,KR:12.5
257733	T:69.1,S:83.8,K:14.7,TR:-38.7,SR:-52.8,KR:14.1
257773	T:68.9,S:83.8,K:14.9,TR:-36.6,SR:-53.5,KR:16.9
257813	T:68.0,S:83.9,K:15.9,TR:-33.2,SR:-54.2,KR:21.1
257853	T:67.7,S:83.9,K:16.2,TR:-31.9,SR:-54.2,KR:22.3
257893	T:67.0,S:83.9,K:16.8,TR:-30.0,SR:-54.1,KR:24.1
257933	T:66.3,S:83.8,K:17.5,TR:-28.1,SR:-53.4,KR:25.3
257973	T:66.1,S:83.7,K:17.6,TR:-27.5,SR:-52.8,KR:25.3
258013	T:66.0,S:83.7,K:17.7,TR:-27.2,SR:-52.8,KR:25.6
258053	T:65.6,S:83.8,K:18.2,TR:-26.7,SR:-54.0,KR:27.3
258093	T:65.4,S:83.6,K:18.3,TR:-26.2,SR:-53.7,KR:27.5
258133	T:65.6,S:83.5,K:17.9,TR:-26.8,SR:-53.3,KR:26.5
258173	T:66.8,S:83.5,K:16.6,TR:-28.3,SR:-53.1,KR:24.7
258213	T:67.0,S:83.4,K:16.4,TR:-29.4,SR:-53.3,KR:23.9
258253	T:67.3,S:83.2,K:15.8,TR:-30.7,SR:-52.8,KR:22.1
258293	T:67.8,S:83.1,K:15.3,TR:-31.5,SR:-52.6,KR:21.1
258333	T:68.1,S:83.2,K:15.1,TR:-31.9,SR:-52.8,KR:20.9
258373	T:68.4,S:83.0,K:14.6,TR:-32.3,SR:-52.5,KR:20.2
258413	T:68.4,S:83.1,K:14.6,TR:-32.4,SR:-52.8,KR:20.4
258453	T:68.6,S:83.1,K:14.4,TR:-32.8,SR:-53.1,KR:20.3
258493	T:68.6,S:83.1,K:14.4,TR:-32.9,SR:-53.0,KR:20.1
258533	T:68.6,S:83.2,K:14.5,TR:-32.9,SR:-53.7,KR:20.8
258573	T:69.3,S:83.1,K:13.8,TR:-33.1,SR:-53.8,KR:20.6
258613	T:69.2,S:83.1,K:13.9,TR:-32.9,SR:-53.5,KR:20.6
258653	T:69.0,S:82.9,K:13.9,TR:-32.9,SR:-52.9,KR:20.0
258693	T:68.9,S:82.9,K:14.0,TR:-33.1,SR:-52.8,KR:19.7
258733	T:67.9,S:83.0,K:15.1,TR:-32.0,SR:-52.8,KR:20.8
258773	T:67.6,S:83.0,K:15.4,TR:-31.8,SR:-53.1,KR:21.3
258813	T:66.8,S:82.9,K:16.1,TR:-31.1,SR:-52.8,KR:21.7
258853	T:66.5,S:82.5,K:16.0,TR:-31.0,SR:-51.8,KR:20.8
258893	T:66.7,S:82.3,K:15.6,TR:-31.4,SR:-51.3,KR:20.0
258933	T:66.9,S:82.2,K:15.4,TR:-31.6,SR:-51.8,KR:20.2
258973	T:67.4,S:82.2,K:14.8,TR:-32.3,SR:-51.3,KR:19.0
259013	T:67.8,S:82.3,K:14.5,TR:-32.7,SR:-51.7,KR:19.1
259053	T:67.9,S:82.3,K:14.5,TR:-32.7,SR:-51.7,KR:19.0
259093	T:67.9,S:82.3,K:14.5,TR:-32.4,SR:-51.7,KR:19.4
259133	T:67.7,S:82.3,K:14.5,TR:-31.4,SR:-51.0,KR:19.5
259173	T:68.1,S:82.1,K:14.0,TR:-29.2,SR:-50.3,KR:21.1
259213	T:68.9,S:82.0,K:13.1,TR:-29.2,SR:-49.6,KR:20.4
259253	T:68.9,S:82.0,K:13.1,TR:-28.7,SR:-50.0,KR:21.3
259293	T:69.2,S:82.2,K:13.1,TR:-25.5,SR:-50.4,KR:24.9
259333	T:69.4,S:82.5,K:13.1,TR:-23.9,SR:-50.7,KR:26.8
259373	T:70.3,S:82.8,K:12.5,TR:-23.0,SR:-51.7,KR:28.7
259413	T:70.4,S:83.0,K:12.5,TR:-22.2,SR:-52.5,KR:30.2
259453	T:71.1,S:83.3,K:12.2,TR:-23.3,SR:-52.6,KR:29.3
259493	T:71.3,S:83.7,K:12.4,TR:-23.1,SR:-53.7,KR:30.6
259533	T:71.2,S:83.9,K:12.6,TR:-22.3,SR:-54.6,KR:32.4
259573	T:71.2,S:84.2,K:12.9,TR:-22.5,SR:-55.9,KR:33.4
259613	T:71.6,S:84.4,K:12.8,TR:-22.8,SR:-56.0,KR:33.2
259653	T:71.4,S:84.7,K:13.3,TR:-20.7,SR:-56.0,KR:35.3
259693	T:71.3,S:84.7,K:13.4,TR:-20.7,SR:-55.5,KR:34.9
259733	T:71.5,S:84.7,K:13.2,TR:-23.0,SR:-54.9,KR:31.9
259773	T:71.5,S:84.8,K:13.2,TR:-22.0,SR:-54.3,KR:32.3
259813	T:71.6,S:85.0,K:13.3,TR:-22.8,SR:-55.4,KR:32.5
259853	T:71.6,S:85.0,K:13.3,TR:-22.8,SR:-55.5,KR:32.7
259893	T:71.8,S:85.0,K:13.2,TR:-24.0,SR:-55.6,KR:31.6
259933	T:71.7,S:85.0,K:13.3,TR:-24.9,SR:-55.4,KR:30.5
259973	T:71.4,S:85.2,K:13.7,TR:-24.0,SR:-55.8,KR:31.8
260013	T:71.7,S:85.2,K:13.5,TR:-23.9,SR:-56.1,KR:32.2
260053	T:71.3,S:85.2,K:13.9,TR:-25.1,SR:-55.1,KR:30.0
260093	T:71.5,S:84.9,K:13.4,TR:-26.6,SR:-53.5,KR:26.9
260133	T:71.5,S:84.8,K:13.4,TR:-25.7,SR:-53.1,KR:27.4
260173	T:71.8,S:84.8,K:13.0,TR:-27.0,SR:-51.7,KR:24.7
260213	T:72.1,S:84.8,K:12.6,TR:-27.8,SR:-49.9,KR:22.0
260253	T:72.3,S:85.0,K:12.7,TR:-28.4,SR:-48.1,KR:19.7
260293	T:72.7,S:85.2,K:12.5,TR:-29.9,SR:-46.0,KR:16.1
260333	T:72.7,S:85.3,K:12.6,TR:-29.4,SR:-44.4,KR:15.0
260373	T:73.2,S:85.3,K:12.2,TR:-30.4,SR:-42.1,KR:11.7
260413	T:73.1,S:85.3,K:12.2,TR:-30.0,SR:-38.4,KR:8.3
260453	T:73.0,S:85.4,K:12.4,TR:-29.8,SR:-34.2,KR:4.3
260493	T:73.3,S:85.4,K:12.1,TR:-31.9,SR:-28.7,KR:3.2
260533	T:73.5,S:85.5,K:12.0,TR:-33.6,SR:-24.8,KR:8.8
260573	T:73.7,S:85.5,K:11.9,TR:-34.7,SR:-14.7,KR:19.9
260613	T:73.8,S:85.4,K:11.6,TR:-36.2,SR:-14.0,KR:22.2
260653	T:73.9,S:85.5,K:11.5,TR:-37.2,SR:-12.0,KR:25.1
260693	T:74.1,S:85.6,K:11.5,TR:-36.7,SR:-3.9,KR:32.7
260733	T:74.6,S:85.7,K:11.2,TR:-35.5,SR:-0.5,KR:35.0
260773	T:74.4,S:85.8,K:11.4,TR:-34.6,SR:1.2,KR:35.9
260813	T:74.2,S:85.9,K:11.7,TR:-33.8,SR:7.3,KR:41.1
260853	T:74.3,S:85.8,K:11.5,TR:-32.3,SR:7.5,KR:39.9
260893	T:74.1,S:85.9,K:11.8,TR:-32.1,SR:11.4,KR:43.5
260933	T:74.1,S:85.8,K:11.7,TR:-31.2,SR:14.6,KR:45.9
260973	T:73.8,S:85.7,K:11.9,TR:-32.0,SR:12.5,KR:44.5
261013	T:73.6,S:85.9,K:12.3,TR:-31.5,SR:15.9,KR:47.4
261053	T:73.7,S:86.0,K:12.2,TR:-32.6,SR:15.4,KR:48.0
261093	T:73.8,S:86.0,K:12.3,TR:-32.3,SR:17.6,KR:49.9
261133	T:73.8,S:86.0,K:12.2,TR:-33.5,SR:20.0,KR:53.4
261173	T:74.0,S:85.9,K:11.8,TR:-32.3,SR:18.3,KR:50.6
261213	T:74.1,S:86.0,K:11.9,TR:-33.0,SR:21.1,KR:54.2
261253	T:74.0,S:86.1,K:12.1,TR:-32.5,SR:20.0,KR:52.5
261293	T:74.0,S:86.2,K:12.2,TR:-32.0,SR:21.9,KR:53.9
261333	T:73.5,S:86.3,K:12.8,TR:-29.9,SR:22.5,KR:52.4
261373	T:73.4,S:86.3,K:12.9,TR:-28.9,SR:21.4,KR:50.3
261413	T:72.9,S:86.3,K:13.4,TR:-26.9,SR:21.7,KR:48.6
261453	T:72.0,S:86.6,K:14.5,TR:-24.5,SR:25.2,KR:49.7
261493	T:71.2,S:86.9,K:15.7,TR:-22.9,SR:28.2,KR:51.1
261533	T:70.8,S:86.8,K:16.1,TR:-21.6,SR:26.8,KR:48.4
261573	T:70.5,S:86.5,K:16.0,TR:-21.0,SR:21.0,KR:42.0
261613	T:69.6,S:86.2,K:16.7,TR:-18.8,SR:16.8,KR:35.6
261653	T:68.6,S:86.3,K:17.7,TR:-19.7,SR:17.4,KR:37.0
261693	T:67.9,S:86.4,K:18.5,TR:-20.2,SR:14.8,KR:34.9
261733	T:65.4,S:86.5,K:21.1,TR:-20.7,SR:15.3,KR:36.0
261773	T:62.7,S:86.5,K:23.8,TR:-19.3,SR:13.9,KR:33.1
261813	T:61.3,S:86.3,K:25.0,TR:-18.4,SR:14.4,KR:32.8
261853	T:61.1,S:86.2,K:25.1,TR:-18.7,SR:16.3,KR:35.0
261893	T:60.3,S:85.9,K:25.6,TR:-16.9,SR:13.0,KR:29.9
261933	T:58.2,S:85.8,K:27.6,TR:-15.2,SR:12.8,KR:28.0
261973	T:56.1,S:85.9,K:29.8,TR:-14.1,SR:11.6,KR:25.7
262013	T:55.2,S:85.9,K:30.8,TR:-13.1,SR:10.9,KR:24.0
262053	T:54.3,S:85.8,K:31.6,TR:-10.9,SR:8.8,KR:19.7
262093	T:54.4,S:85.7,K:31.4,TR:-9.6,SR:8.5,KR:18.1
262133	T:53.9,S:85.7,K:31.8,TR:-8.0,SR:10.8,KR:18.8
262173	T:53.1,S:85.8,K:32.7,TR:-6.5,SR:11.4,KR:17.9
262213	T:51.9,S:85.8,K:34.0,TR:-4.9,SR:9.3,KR:14.1
